No.,Time,Source,Destination,Protocol,Length,Frame,Time delta from previous displayed frame,Info,,,,,,,,,,,Time 2,Time 1,Delay,delay 2,delay 1,jitter
70,3.207198,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.000873,443  >  49988 [ACK] Seq=3283 Ack=1760 Win=23808 Len=0,,,,,,,,,,,3.211889,3.207198,0.004691,0.006566,0.004691,0.001875
71,3.211889,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.004691,443  >  49988 [ACK] Seq=3283 Ack=2096 Win=24160 Len=0,,,,,,,,,,,3.218455,3.211889,0.006566,0.001932,0.006566,-0.004634
72,3.218455,172.217.194.94,192.168.43.13,TLSv1.3,1124,â\234\223,0.006566,"Application Data, Application Data",,,,,,,,,,,3.220387,3.218455,0.001932,8.4E-05,0.001932,-0.001848
73,3.220387,172.217.194.94,192.168.43.13,TLSv1.3,93,â\234\223,0.001932,Application Data,,,,,,,,,,,3.220471,3.220387,8.4E-05,0.000895,8.4E-05,0.000811
74,3.220471,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000084,49988  >  443 [ACK] Seq=2127 Ack=4392 Win=66048 Len=0,,,,,,,,,,,3.221366,3.220471,0.000895,0.003902,0.000895,0.003007
75,3.221366,192.168.43.13,172.217.194.94,TLSv1.3,93,â\234\223,0.000895,Application Data,,,,,,,,,,,3.225268,3.221366,0.003902,0.00146,0.003902,-0.002442
76,3.225268,172.217.194.94,192.168.43.13,TLSv1.3,119,â\234\223,0.003902,Application Data,,,,,,,,,,,3.226728,3.225268,0.00146,0.000103,0.00146,-0.001357
77,3.226728,172.217.194.94,192.168.43.13,TLSv1.3,85,â\234\223,0.00146,Application Data,,,,,,,,,,,3.226831,3.226728,0.000103,0.019996,0.000103,0.019893
78,3.226831,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000103,49988  >  443 [ACK] Seq=2166 Ack=4488 Win=66048 Len=0,,,,,,,,,,,3.246827,3.226831,0.019996,0.021939,0.019996,0.001943
79,3.246827,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.019996,443  >  49988 [ACK] Seq=4488 Ack=2127 Win=24192 Len=0,,,,,,,,,,,3.268766,3.246827,0.021939,3.508317,0.021939,3.486378
80,3.268766,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.021939,443  >  49988 [ACK] Seq=4488 Ack=2166 Win=24224 Len=0,,,,,,,,,,,6.777083,3.268766,3.508317,0.033015,3.508317,-3.475302
85,6.777083,192.168.43.13,114.122.0.145,TCP,66,â\234\223,3.508317,49990  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,6.810098,6.777083,0.033015,0.000212,0.033015,-0.032803
86,6.810098,114.122.0.145,192.168.43.13,TCP,66,â\234\223,0.033015,"443  >  49990 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1380 WS=32 SACK_PERM=1",,,,,,,,,,,6.81031,6.810098,0.000212,0.001054,0.000212,0.000842
87,6.81031,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000212,49990  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,,6.811364,6.81031,0.001054,0.056085,0.001054,0.055031
88,6.811364,192.168.43.13,114.122.0.145,TLSv1.3,571,â\234\223,0.001054,Client Hello,,,,,,,,,,,6.867449,6.811364,0.056085,0.000536,0.056085,-0.055549
89,6.867449,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0.056085,443  >  49990 [ACK] Seq=1 Ack=518 Win=22592 Len=0,,,,,,,,,,,6.867985,6.867449,0.000536,0,0.000536,-0.000536
90,6.867985,114.122.0.145,192.168.43.13,TLSv1.3,1422,â\234\223,0.000536,"Server Hello, Change Cipher Spec",,,,,,,,,,,6.867985,6.867985,0,0,0,0
91,6.867985,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=1369 Ack=518 Win=22592 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.867985,6.867985,0,0.000135,0,0.000135
92,6.867985,114.122.0.145,192.168.43.13,TLSv1.3,623,â\234\223,0,Application Data,,,,,,,,,,,6.86812,6.867985,0.000135,0.00421,0.000135,0.004075
93,6.86812,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000135,49990  >  443 [ACK] Seq=518 Ack=3306 Win=66048 Len=0,,,,,,,,,,,6.87233,6.86812,0.00421,0.000651,0.00421,-0.003559
94,6.87233,192.168.43.13,114.122.0.145,TLSv1.3,118,â\234\223,0.00421,"Change Cipher Spec, Application Data",,,,,,,,,,,6.872981,6.87233,0.000651,0,0.000651,-0.000651
95,6.872981,192.168.43.13,114.122.0.145,TCP,1434,â\234\223,0.000651,49990  >  443 [ACK] Seq=582 Ack=3306 Win=66048 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,6.872981,6.872981,0,0.026802,0,0.026802
96,6.872981,192.168.43.13,114.122.0.145,TLSv1.3,282,â\234\223,0,Application Data,,,,,,,,,,,6.899783,6.872981,0.026802,0.011976,0.026802,-0.014826
97,6.899783,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0.026802,443  >  49990 [ACK] Seq=3306 Ack=582 Win=22656 Len=0,,,,,,,,,,,6.911759,6.899783,0.011976,0.00128,0.011976,-0.010696
98,6.911759,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0.011976,443  >  49990 [ACK] Seq=3306 Ack=1962 Win=24032 Len=0,,,,,,,,,,,6.913039,6.911759,0.00128,0,0.00128,-0.00128
99,6.913039,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0.00128,443  >  49990 [ACK] Seq=3306 Ack=2190 Win=24256 Len=0,,,,,,,,,,,6.913039,6.913039,0,0,0,0
100,6.913039,114.122.0.145,192.168.43.13,TLSv1.3,1422,â\234\223,0,"Application Data, Application Data",,,,,,,,,,,6.913039,6.913039,0,0,0,0
101,6.913039,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=4674 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913039,6.913039,0,0,0,0
102,6.913039,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=6042 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913039,6.913039,0,0,0,0
103,6.913039,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=7410 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913039,6.913039,0,0,0,0
104,6.913039,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=8778 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913039,6.913039,0,0.00015,0,0.00015
105,6.913039,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,"443  >  49990 [PSH, ACK] Seq=10146 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU]",,,,,,,,,,,6.913189,6.913039,0.00015,0.000533,0.00015,0.000383
106,6.913189,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.00015,49990  >  443 [ACK] Seq=2190 Ack=11514 Win=66048 Len=0,,,,,,,,,,,6.913722,6.913189,0.000533,0,0.000533,-0.000533
107,6.913722,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.000533,443  >  49990 [ACK] Seq=11514 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913722,6.913722,0,9.1E-05,0,9.1E-05
108,6.913722,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=12882 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.913813,6.913722,9.1E-05,0.002423,9.1E-05,0.002332
109,6.913813,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000091,49990  >  443 [ACK] Seq=2190 Ack=14250 Win=66048 Len=0,,,,,,,,,,,6.916236,6.913813,0.002423,0.000817,0.002423,-0.001606
110,6.916236,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.002423,443  >  49990 [ACK] Seq=14250 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.917053,6.916236,0.000817,0,0.000817,-0.000817
111,6.917053,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.000817,443  >  49990 [ACK] Seq=15618 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.917053,6.917053,0,0,0,0
112,6.917053,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=16986 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.917053,6.917053,0,0,0,0
113,6.917053,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=18354 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.917053,6.917053,0,0,0,0
114,6.917053,114.122.0.145,192.168.43.13,TLSv1.3,1422,â\234\223,0,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,6.917053,6.917053,0,0.000121,0,0.000121
115,6.917053,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=21090 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.917174,6.917053,0.000121,0.010525,0.000121,0.010404
116,6.917174,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000121,49990  >  443 [ACK] Seq=2190 Ack=22458 Win=66048 Len=0,,,,,,,,,,,6.927699,6.917174,0.010525,0.000937,0.010525,-0.009588
117,6.927699,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.010525,443  >  49990 [ACK] Seq=22458 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.928636,6.927699,0.000937,0,0.000937,-0.000937
118,6.928636,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.000937,443  >  49990 [ACK] Seq=23826 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.928636,6.928636,0,0,0,0
119,6.928636,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=25194 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.928636,6.928636,0,0,0,0
120,6.928636,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,"443  >  49990 [PSH, ACK] Seq=26562 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU]",,,,,,,,,,,6.928636,6.928636,0,0.000127,0,0.000127
121,6.928636,114.122.0.145,192.168.43.13,TCP,270,â\234\223,0,"443  >  49990 [PSH, ACK] Seq=27930 Ack=2190 Win=24256 Len=216 [TCP segment of a reassembled PDU]",,,,,,,,,,,6.928763,6.928636,0.000127,0.013477,0.000127,0.01335
122,6.928763,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000127,49990  >  443 [ACK] Seq=2190 Ack=28146 Win=66048 Len=0,,,,,,,,,,,6.94224,6.928763,0.013477,0.000125,0.013477,-0.013352
123,6.94224,114.122.0.145,192.168.43.13,TCP,1206,â\234\223,0.013477,443  >  49990 [ACK] Seq=28146 Ack=2190 Win=24256 Len=1152 [TCP segment of a reassembled PDU],,,,,,,,,,,6.942365,6.94224,0.000125,0.001482,0.000125,0.001357
124,6.942365,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000125,49990  >  443 [ACK] Seq=2190 Ack=29298 Win=65024 Len=0,,,,,,,,,,,6.943847,6.942365,0.001482,0,0.001482,-0.001482
125,6.943847,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0.001482,443  >  49990 [ACK] Seq=29298 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.943847,6.943847,0,0,0,0
126,6.943847,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=30666 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.943847,6.943847,0,0,0,0
127,6.943847,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=32034 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.943847,6.943847,0,0,0,0
128,6.943847,114.122.0.145,192.168.43.13,TCP,1422,â\234\223,0,443  >  49990 [ACK] Seq=33402 Ack=2190 Win=24256 Len=1368 [TCP segment of a reassembled PDU],,,,,,,,,,,6.943847,6.943847,0,0,0,0
